video_id,title,language,channel_name,upload_date,views,likes,comments,category
5izqtGs1WV0,Level up to greatness! #GetRecognised in Digital Marketing with MICA x #upgrad,en,upGrad,2022-09-06T12:20:23Z,10343129,1930,26,"Social Media Marketing, Ad Marketing"
3uaF6sn4ZpQ,Intro to the Digital Garage,en,Digital Garage,2019-01-14T10:47:45Z,7349300,0,0,Marketing in English
n_W0RfKs_uI,Make great your fate with MICA x #upGrad | #GetRecognised in Digital Marketing,en,upGrad,2022-09-06T12:20:56Z,7219067,237,27,"Social Media Marketing, Ad Marketing"
bixR-KIJKYM,Digital Marketing In 5 Minutes | What Is Digital Marketing? | Learn Digital Marketing | Simplilearn,en,Simplilearn,2020-09-23T15:30:02Z,5418312,114536,4598,"SEO, Social Media Marketing"
nU-IIXBWlS4,Digital Marketing Course Part - 1 🔥| Digital Marketing Tutorial For Beginners | Simplilearn,en,Simplilearn,2020-03-16T05:30:01Z,3928259,89983,1638,"SEO, Social Media Marketing, Ad Marketing"
HZNk7hGV8SA,कम खर्चे में Digital Marketing कैसे करें ? | Dr Vivek Bindra,en,Dr. Vivek Bindra: Motivational Speaker,2019-01-15T10:30:15Z,3844904,201480,4163,"SEO, Social Media Marketing, Blog Posts"
RmwI_QqcPQc,How To Market Your Business On Social Media,en,Marley Jaxx,2021-04-20T14:30:03Z,2364249,78189,2239,Social Media Marketing
aUerDG2SNTA,how I would learn digital marketing (If I could start over),en,Senator We Run Ads,2022-09-30T16:02:36Z,1942773,89994,2164,Blog Posts
MYE6T_gd7H0,SEO In 5 Minutes | What Is SEO And How Does It Work | SEO Explained | SEO Tutorial | Simplilearn,en,Simplilearn,2020-12-23T13:39:48Z,1800069,39488,1313,"SEO, Social Media Marketing"
hiEb1m7CXH4,Digital Marketing Course in 7 Hours | Digital Marketing Tutorial for Beginners [2024] | Edureka,en,edureka!,2021-02-08T15:50:32Z,1236301,20909,128,"SEO, Social Media Marketing"
pm5TnwKD_a0,How To Learn Digital Marketing To Be An Expert | Digital Pratik | Josh Talks,en,Josh Talks,2019-12-21T13:00:14Z,1195392,50463,1163,Marketing in English
oQw8pn-xgZY,How To Use Google Ads | Google Ads Tutorial [FOR BEGINNERS],en,Metics Media,2021-01-12T21:31:00Z,1148280,29699,1096,Ad Marketing
h95cQkEWBx0,Digital Marketing 101 (A Beginner’s Guide To Marketing),en,Adam Erhart,2021-01-18T14:00:10Z,1135475,30966,727,Marketing in English
nkNHn0VqVBA,Digital Marketing Full Course - 10 Hours [2024] | Digital Marketing Tutorial for Beginners | Edureka,en,edureka!,2023-01-06T17:50:54Z,1124635,14947,58,"SEO, Social Media Marketing"
wZZnxXyES80,Digital Marketing for Beginners: 7 Strategies That Work,en,Ahrefs,2019-05-22T14:30:06Z,1090614,25242,865,"SEO, Social Media Marketing, Blog Posts, Ad Marketing"
4ajmfzj9G1g,"7 Effective Marketing Strategies for 2024 (TIPS, TRICKS & TACTICS)",en,Adam Erhart,2022-06-04T13:30:02Z,1090824,25182,656,Marketing in English
qQdXB8qSY-E,21 USEFUL Digital Marketing Tools To Grow Your Business,en,Aurelius Tjin,2021-10-20T11:00:26Z,1064467,51921,647,Marketing in English
